Cuenca o Litoral;Estrato menor;Estrato;Sitio desembarco;Tipo de unidad;Mes;Epoca;Cuartil_inf;Cuartil_sup
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;IM;12;Meses Epoca Media;6.989;26.1
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;UEP;1;Meses Epoca Media;0.8455;331.065
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;UEP;2;Meses Epoca Media;0.8455;331.065
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;UEP;3;Meses Epoca Media;0.8455;331.065
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;UEP;4;Meses Epoca Alta;1.06;48.632
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;UEP;5;Meses Epoca Media;0.8455;331.065
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;UEP;6;Meses Epoca Media;0.8455;331.065
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;UEP;7;Meses Epoca Media;0.8455;331.065
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;UEP;8;Meses Epoca Media;0.8455;331.065
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;UEP;9;Meses Epoca Baja;0.3275;27.4
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;UEP;10;Meses Epoca Media;0.8455;331.065
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;UEP;11;Meses Epoca Media;0.8455;331.065
Amazonía;Río Putumayo;Puerto Asís;Río San Miguel;UEP;12;Meses Epoca Alta;1.06;48.632
Amazonía;Río Putumayo;Puerto Leguízamo - Bodegas;Puerto Arango;MA;1;Meses Epoca Alta;218.6;1385.2
Amazonía;Río Putumayo;Puerto Leguízamo - Bodegas;Puerto Arango;MA;2;Meses Epoca Media;829.375;879.5
Amazonía;Río Putumayo;Puerto Leguízamo - Bodegas;Puerto Arango;MA;3;Meses Epoca Baja;100.075;4.467.175
Amazonía;Río Putumayo;Puerto Leguízamo - Bodegas;Puerto Arango;MA;4;Meses Epoca Media;829.375;879.5
Amazonía;Río Putumayo;Puerto Leguízamo - Bodegas;Puerto Arango;MA;5;Meses Epoca Media;829.375;879.5
Amazonía;Río Putumayo;Puerto Leguízamo - Bodegas;Puerto Arango;MA;6;Meses Epoca Baja;100.075;4.467.175
Amazonía;Río Putumayo;Puerto Leguízamo - Bodegas;Puerto Arango;MA;7;Meses Epoca Baja;100.075;4.467.175
Amazonía;Río Putumayo;Puerto Leguízamo - Bodegas;Puerto Arango;MA;8;Meses Epoca Media;829.375;879.5
Amazonía;Río Putumayo;Puerto Leguízamo - Bodegas;Puerto Arango;MA;9;Meses Epoca Baja;100.075;4.467.175
Amazonía;Río Putumayo;Puerto Leguízamo - Bodegas;Puerto Arango;MA;10;Meses Epoca Alta;218.6;1385.2
