Cuenca o Litoral.x;Estrato menor;Estrato;No del sitio de desembarco;Sitio desembarco.x;Tipo de unidad.x;Mes;Epoca;Sitio_TU_Mes;Sitio_TU_Epoca;Cuenca o Litoral;Sitio desembarco.y;Tipo de unidad.y;Cuartil_inf;Cuartil_sup
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;IM;10;Meses Epoca Baja;Aparca_IM_10;Aparca_IM_Meses Epoca Baja;Amazonía;Aparca;IM;15,95;115,43
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;IM;11;Meses Epoca Baja;Aparca_IM_11;Aparca_IM_Meses Epoca Baja;Amazonía;Aparca;IM;15,95;115,43
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;IM;12;Meses Epoca Media;Aparca_IM_12;Aparca_IM_Meses Epoca Media;Amazonía;Aparca;IM;21,91;213,35
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;UEP;1;Meses Epoca Alta;Aparca_UEP_1;Aparca_UEP_Meses Epoca Alta;Amazonía;Aparca;UEP;17,8;145,4
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;UEP;2;Meses Epoca Media;Aparca_UEP_2;Aparca_UEP_Meses Epoca Media;Amazonía;Aparca;UEP;11,5;68,96
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;UEP;3;Meses Epoca Media;Aparca_UEP_3;Aparca_UEP_Meses Epoca Media;Amazonía;Aparca;UEP;11,5;68,96
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;UEP;4;Meses Epoca Alta;Aparca_UEP_4;Aparca_UEP_Meses Epoca Alta;Amazonía;Aparca;UEP;17,8;145,4
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;UEP;5;Meses Epoca Media;Aparca_UEP_5;Aparca_UEP_Meses Epoca Media;Amazonía;Aparca;UEP;11,5;68,96
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;UEP;6;Meses Epoca Baja;Aparca_UEP_6;Aparca_UEP_Meses Epoca Baja;Amazonía;Aparca;UEP;8,72;32,54
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;UEP;7;Meses Epoca Baja;Aparca_UEP_7;Aparca_UEP_Meses Epoca Baja;Amazonía;Aparca;UEP;8,72;32,54
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;UEP;8;Meses Epoca Baja;Aparca_UEP_8;Aparca_UEP_Meses Epoca Baja;Amazonía;Aparca;UEP;8,72;32,54
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;UEP;9;Meses Epoca Baja;Aparca_UEP_9;Aparca_UEP_Meses Epoca Baja;Amazonía;Aparca;UEP;8,72;32,54
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;UEP;10;Meses Epoca Baja;Aparca_UEP_10;Aparca_UEP_Meses Epoca Baja;Amazonía;Aparca;UEP;8,72;32,54
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;UEP;11;Meses Epoca Baja;Aparca_UEP_11;Aparca_UEP_Meses Epoca Baja;Amazonía;Aparca;UEP;8,72;32,54
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;2;Aparca;UEP;12;Meses Epoca Media;Aparca_UEP_12;Aparca_UEP_Meses Epoca Media;Amazonía;Aparca;UEP;11,5;68,96
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;IM;1;Meses Epoca Baja;Cartagena del Chairá_IM_1;Cartagena del Chairá_IM_Meses Epoca Baja;Amazonía;Cartagena del Chairá;IM;7;47,14
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;IM;2;Meses Epoca Baja;Cartagena del Chairá_IM_2;Cartagena del Chairá_IM_Meses Epoca Baja;Amazonía;Cartagena del Chairá;IM;7;47,14
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;IM;3;Meses Epoca Baja;Cartagena del Chairá_IM_3;Cartagena del Chairá_IM_Meses Epoca Baja;Amazonía;Cartagena del Chairá;IM;7;47,14
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;IM;4;Meses Epoca Media;Cartagena del Chairá_IM_4;Cartagena del Chairá_IM_Meses Epoca Media;Amazonía;Cartagena del Chairá;IM;6,52;65,65
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;IM;5;Meses Epoca Media;Cartagena del Chairá_IM_5;Cartagena del Chairá_IM_Meses Epoca Media;Amazonía;Cartagena del Chairá;IM;6,52;65,65
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;IM;6;Meses Epoca Alta;Cartagena del Chairá_IM_6;Cartagena del Chairá_IM_Meses Epoca Alta;Amazonía;Cartagena del Chairá;IM;5,95;85,06
